Kolumna1,ID,lp,ekspot,kategorie,start_min,start_s,stop_min,stop_s,czas_w_sek,czas_w_min,Z_KIM,X1_OSTOW,X2_OSTOW,X3_OSTOW,X4_OSTOW,X5_OSTOW,X6_OSTOW,X7_OSTOW,X8_OSTOW,X9_OSTOW,ILE_OSTOW,zach,opis,animator,uwagi,os_3,os_3_e,os_2,os_2_e
5609,1005,5743,ŚWIATŁO I DŹWIĘK,2,70,0,70,15,15,0.25,,,,,,,,,,,0,,,,,1,sam/a,1,sam/a
5610,1005,5744,STROBOSKOPOWY SZNUREK,2,70,20,72,56,156,2.6,"1010, 1007",1010,1007,,,,,,,,2,4,,1,"Została sama i rozmawia z animatorem, eksperymentuje.",3,z 3 lub więcej osobami,2,z innymi
5611,1005,5745,TRZY KULKI  SZNURKU,2,73,1,73,26,25,0.42,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5612,1005,5746,MAGNETYCZ CHMURA,2,73,30,74,24,54,0.9,,,,,,,,,,,0,4,,,,1,sam/a,1,sam/a
5613,1005,5747,OBROTOWY STOLIK,2,74,56,75,26,30,0.5,1010,1010,,,,,,,,,1,3,,,uczyciele przy ekpocie.,2,z inną osobą,2,z innymi
5614,1005,5748,ZOBACZ CIEPŁO,2,75,30,76,6,36,0.6,,,,,,,,,,,0,4,,,,1,sam/a,1,sam/a
5615,1005,5749,WAHADŁO ŚWIETLNE,2,76,8,76,18,10,0.17,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5616,1005,5750,CZTERY PORY ROKU,2,76,24,76,30,6,0.1,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5617,1005,5751,ZIEMSKI MAGNES,2,77,26,77,50,24,0.4,,,,,,,,,,,0,4,,,,1,sam/a,1,sam/a
5618,1005,5752,COPERNICHAOS,2,77,52,78,25,33,0.55,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5619,1005,5753,JA LATAM,2,79,1,79,11,10,0.17,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5620,1005,5754,OKNO KOPERNIKA,2,79,12,79,25,13,0.22,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5621,1005,5755,OBROTOWE TWARZE,2,79,30,79,41,11,0.18,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5622,1005,5756,ZBLIŻENIA. OD KOSMOSU PO ATOM,2,79,47,80,3,16,0.27,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5623,1005,5757,ILE WODY MOŻ Z CIEBIE WYCISNĄĆ,2,80,13,80,33,20,0.33,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5624,1005,5758,LUDZKIE PIERWIASTKI,2,80,40,80,50,10,0.17,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5625,1005,5759,KOSMICZNY LEJ,2,81,2,81,40,38,0.63,,,,,,,,,,,0,4,,,,1,sam/a,1,sam/a
5626,1005,5760,ELASTYCZNE SZKŁO,2,81,40,82,27,47,0.78,,,,,,,,,,,0,4,,,,1,sam/a,1,sam/a
5627,1005,5761,LASEROWY PODSŁUCH,2,82,37,82,42,5,0.08,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5628,1005,5762,KOLOROWE CIENIE,2,82,57,83,50,53,0.88,,,,,,,,,,,0,4,,,,1,sam/a,1,sam/a
5629,1005,5763,WYCIERACZKI,2,84,2,84,22,20,0.33,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5630,1005,5764,KOSMICZNY ŚMIETNIK,2,85,19,85,39,20,0.33,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5631,1005,5765,INNE,1,85,39,87,5,86,1.43,,,,,,,,,,,0,,,,"Chodzi po galerii, nie podchodzi do ekspotów.",1,sam/a,1,sam/a
5632,1005,5766,ILU MASZ SOBOWTÓRÓW,2,87,5,88,18,73,1.22,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
5633,1005,5767,"JEST RYZYKO, JEST ZABAWA",2,88,20,88,46,26,0.43,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
