Kolumna1,ID,lp,ekspot,kategorie,start_min,start_s,stop_min,stop_s,czas_w_sek,czas_w_min,Z_KIM,X1_OSTOW,X2_OSTOW,X3_OSTOW,X4_OSTOW,X5_OSTOW,X6_OSTOW,X7_OSTOW,X8_OSTOW,X9_OSTOW,ILE_OSTOW,zach,opis,animator,uwagi,os_3,os_3_e,os_2,os_2_e
2858,503,2903,MYDLANE LUSTRO,2,16,30,17,15,45,0.75,507,507,,,,,,,,,1,3,1,,,2,z inną osobą,2,z innymi
2859,503,2904,ZOBACZ CIEPŁO,2,17,20,17,50,30,0.5,507,507,,,,,,,,,1,1,1,,,2,z inną osobą,2,z innymi
2860,503,2905,DRGAJĄCE PIERŚCIENIE,2,17,52,18,57,65,1.08,,,,,,,,,,,0,3,1,,,1,sam/a,1,sam/a
2861,503,2906,MAJSTERNIA,3,19,30,47,0,1650,27.5,"0514, 0507",514,507,,,,,,,,2,,,,"Most. Sporo obserwuje, wspiera kolegów, wykonuje wszystko precyzyjnie, wykonuje większość pracy, jest zaangażowany, nie kończy.",3,z 3 lub więcej osobami,2,z innymi
2862,503,2907,ŁÓDŹ PODWOD,2,48,13,48,50,37,0.62,515,515,,,,,,,,,1,2,1,,,2,z inną osobą,2,z innymi
2863,503,2908,SYZYFOWA PRZEKŁADNIA,2,49,15,50,0,45,0.75,,,,,,,,,,,0,3,1,,,1,sam/a,1,sam/a
2864,503,2909,SKACZĄCA KULKA,2,50,30,50,46,16,0.27,,,,,,,,,,,0,3,1,,,1,sam/a,1,sam/a
2865,503,2910,FALOWANIE I SKAKANIE,2,51,40,51,50,10,0.17,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
2866,503,2911,BĄBLE  START,2,52,2,52,10,8,0.13,507,507,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
2867,503,2912,TO NIE PRZELEWKI,2,52,30,52,47,17,0.28,507,507,,,,,,,,,1,2,1,,,2,z inną osobą,2,z innymi
2868,503,2913,FLETNIA PA,2,53,2,53,11,9,0.15,507,507,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
2869,503,2914,CHWIEJNY WALEC,2,53,16,54,2,46,0.77,,,,,,,,,,,0,3,1,,,1,sam/a,1,sam/a
2870,503,2915,WISZĄCA PIŁKA,2,54,50,55,16,26,0.43,,,,,,,,,,,0,4,1,,,1,sam/a,1,sam/a
2871,503,2916,INNE,1,56,30,57,50,80,1.33,,,,,,,,,,,0,,,,,1,sam/a,1,sam/a
2872,503,2917,SILNIK ROŚLINNY,2,60,20,61,3,43,0.72,,,,,,,,,,,0,,,,,1,sam/a,1,sam/a
2873,503,2918,KRES,2,62,7,62,40,33,0.55,"0516, 0506, 0504, 0514",516,506,504,514,,,,,,4,1,,,,3,z 3 lub więcej osobami,2,z innymi
2874,503,2919,OBROTOWY STOLIK,2,66,21,66,39,18,0.3,516,516,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
2875,503,2920,SPALANIE KALORII,2,68,1,69,20,79,1.32,516,516,,,,,,,,,1,3,1,,,2,z inną osobą,2,z innymi
2876,503,2921,"BIEGANIE (3,2,1…START)",2,69,50,71,40,110,1.83,"0616, 0515, 0514, 0615",616,515,514,615,,,,,,4,3,1,,,3,z 3 lub więcej osobami,2,z innymi
2877,503,2922,TANIEC IGŁAMI,2,74,20,75,26,66,1.1,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
2878,503,2923,KOŁO STEROWE,2,76,20,76,40,20,0.33,,,,,,,,,,,0,3,1,,,1,sam/a,1,sam/a
2879,503,2924,SOCZEWKI,2,77,0,77,20,20,0.33,,,,,,,,,,,0,3,1,,,1,sam/a,1,sam/a
2880,503,2925,UKRYTA PERSPEKTYWA,2,78,3,79,20,77,1.28,,,,,,,,,,,0,1,1,,,1,sam/a,1,sam/a
2881,503,2926,PRYZMAT GOETHEGO,2,79,25,79,40,15,0.25,514,514,,,,,,,,,1,1,,,,2,z inną osobą,2,z innymi
2882,503,2927,PIJANY KIEROWCA,2,80,37,80,50,13,0.22,514,514,,,,,,,,,1,1,,,,2,z inną osobą,2,z innymi
2883,503,2928,PODGLĄDANIE MIASTA,2,81,20,81,40,20,0.33,514,514,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
2884,503,2929,PRZYSTANEK SERCE - JAK BIJE SERCE,2,82,40,83,30,50,0.83,,,,,,,,,,,0,1,1,,,1,sam/a,1,sam/a
2885,503,2930,PŁUCA JAK MIECHY,2,83,43,83,58,15,0.25,,,,,,,,,,,0,1,1,,,1,sam/a,1,sam/a
2886,503,2931,PRZYSTANEK SERCE - ELEKTRYCZNE ESY-FLORESY,2,84,5,84,30,25,0.42,,,,,,,,,,,0,3,1,,,1,sam/a,1,sam/a
2887,503,2932,POJEDYNEK FAL MÓZGOWYCH,2,85,40,86,30,50,0.83,"0507, 0514, 0516",507,514,516,,,,,,,3,1,1,,,3,z 3 lub więcej osobami,2,z innymi
2888,503,2933,PIJANY KIEROWCA,2,86,50,87,50,60,1,"0502, 0517, 0512",502,517,512,,,,,,,3,1,,,,3,z 3 lub więcej osobami,2,z innymi
2889,503,2934,POJEDYNEK FAL MÓZGOWYCH,2,88,0,90,50,170,2.83,"0516, 0507, 0514",516,507,514,,,,,,,3,1,1,,,3,z 3 lub więcej osobami,2,z innymi
2890,503,2935,TALERZE LICHTENBERGA,2,93,30,93,50,20,0.33,"0515, 0513, 0507, 0501",515,513,507,501,,,,,,4,2,,,,3,z 3 lub więcej osobami,2,z innymi
2891,503,2936,INNE,1,94,30,95,30,60,1,,,,,,,,,,,0,,,,Odpoczywa.,1,sam/a,1,sam/a
2892,503,2937,KOŁOWRÓT STUDZIENNY,2,98,20,98,30,10,0.17,507,507,,,,,,,,,1,1,,,,2,z inną osobą,2,z innymi
2893,503,2938,PERSKIE KOŁO,2,98,32,99,10,38,0.63,,,,,,,,,,,0,3,1,,,1,sam/a,1,sam/a
2894,503,2939,WYŚCIG ŁODZI,2,99,30,100,0,30,0.5,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
2895,503,2940,GDZIE ARCHEOLOG NIE MOŻE TAM ROBOTA POŚLE,2,100,20,101,20,60,1,"0501, 0507",501,507,,,,,,,,2,3,,,,3,z 3 lub więcej osobami,2,z innymi
2896,503,2941,DŹWIĘKI RELIGII,2,102,15,102,40,25,0.42,"0514, 0507",514,507,,,,,,,,2,3,,,,3,z 3 lub więcej osobami,2,z innymi
2897,503,2942,ŻAGLE  HORYZONCIE DZIEJÓW,2,103,10,104,15,65,1.08,"0514, 0515, 0507",514,515,507,,,,,,,3,3,,,,3,z 3 lub więcej osobami,2,z innymi
2898,503,2943,WIATRAKI I TURBOWIATRAKI,2,104,17,104,30,13,0.22,501,501,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
2899,503,2944,FONTAN HERO,2,105,2,105,45,43,0.72,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
2900,503,2945,HIPERBOLA I SPÓŁKA,2,107,32,108,10,38,0.63,"0514, 0507",514,507,,,,,,,,2,,,,,3,z 3 lub więcej osobami,2,z innymi
2901,503,2946,PRAWDZIWA GEOMETRIA TURY,2,108,12,108,40,28,0.47,507,507,,,,,,,,,1,1,,,,2,z inną osobą,2,z innymi
2902,503,2947,AUKCJA HOLENDERSKA,2,109,30,113,20,230,3.83,"0617, 0614, 0515, 0507",617,614,515,507,,,,,,4,3,,,,3,z 3 lub więcej osobami,2,z innymi
2903,503,2948,WAHADŁO FOUCAULT,2,113,50,116,58,188,3.13,,,,,,,,,,,0,1,,,,1,sam/a,1,sam/a
2904,503,2949,INNE,1,117,30,118,20,50,0.83,,,,,,,,,,,0,,,,Stoi  schodach.,1,sam/a,1,sam/a
2905,505,2950,TWOJA LINIA ŚWIATA,2,0,36,1,4,28,0.47,509,509,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
2906,505,2951,PRAWDZIWA GEOMETRIA TURY,2,1,6,1,32,26,0.43,"0506, 0504, 0509",506,504,509,,,,,,,3,2,,,,3,z 3 lub więcej osobami,2,z innymi
2907,505,2952,HIPERBOLA I SPÓŁKA,2,1,57,2,41,44,0.73,"0508, 0509",508,509,,,,,,,,2,2,,,,3,z 3 lub więcej osobami,2,z innymi
2908,505,2953,BAJT TWOJEGO WZROSTU,2,2,49,3,3,14,0.23,"0508, 0509",508,509,,,,,,,,2,1,,,,3,z 3 lub więcej osobami,2,z innymi
2909,505,2954,MYDLA ŚCIA,2,3,18,3,34,16,0.27,"0508, 0509",508,509,,,,,,,,2,1,,,,3,z 3 lub więcej osobami,2,z innymi
2910,505,2955,LASEROWA HARFA,2,3,46,3,57,11,0.18,508,508,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
2911,505,2956,GRAJĄCA DESECZKA,2,4,7,4,57,50,0.83,"0508, 0509",508,509,,,,,,,,2,3,1,,,3,z 3 lub więcej osobami,2,z innymi
2912,505,2957,"RADIO, CZYLI SZKODA, ŻE PAŃSTWO TEGO NIE WIDZĄ",2,5,3,5,25,22,0.37,"0508, 0509",508,509,,,,,,,,2,2,,,,3,z 3 lub więcej osobami,2,z innymi
2913,505,2958,HISTORIA KOŁEM SIĘ TOCZY,2,5,33,5,53,20,0.33,508,508,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
2914,505,2959,PROSTOWANIE KOŁA,2,5,53,6,47,54,0.9,"0508, 0509",508,509,,,,,,,,2,2,,,,3,z 3 lub więcej osobami,2,z innymi
2915,505,2960,I TŁOKI TURKOCĄ,2,7,5,7,36,31,0.52,"0508, 0509",508,509,,,,,,,,2,1,,,,3,z 3 lub więcej osobami,2,z innymi
2916,505,2961,PRĄD  KORBKĘ,2,7,40,7,53,13,0.22,"0508, 0509",508,509,,,,,,,,2,1,,,,3,z 3 lub więcej osobami,2,z innymi
2917,505,2962,KOPUŁA WIEŃCZY DZIEŁO,2,8,25,9,57,92,1.53,"0511, 0506, 0502",511,506,502,,,,,,,3,3,1,,"Zamiast instrukcji przeczytał stand (myślał, że to instrukcja).",3,z 3 lub więcej osobami,2,z innymi
2918,505,2963,PRZENOŚNY MOST LEORDA,2,10,7,12,41,154,2.57,"0522, 0506, 0502",522,506,502,,,,,,,3,3,1,1,,3,z 3 lub więcej osobami,2,z innymi
2919,505,2964,PIONY W PLASTERKACH,2,13,51,14,11,20,0.33,506,506,,,,,,,,,1,1,,,,2,z inną osobą,2,z innymi
2920,505,2965,MALARSKIE PUZZLE,2,14,30,15,2,32,0.53,506,506,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
2921,505,2966,TORDO OGNIA,2,15,11,15,16,5,0.08,506,506,,,,,,,,,1,1,,,Ekspot jedynie do obserwacji.,2,z inną osobą,2,z innymi
2922,505,2967,WIATRAKI I TURBOWIATRAKI,2,15,37,16,38,61,1.02,506,506,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
2923,505,2968,ŻAGLE  HORYZONCIE DZIEJÓW,2,16,50,17,10,20,0.33,506,506,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
2924,505,2969,MAGIA SZTUKI PREHISTORYCZNEJ,2,17,47,18,50,63,1.05,506,506,,,,,,,,,1,4,,,,2,z inną osobą,2,z innymi
2925,505,2970,INNE,1,20,26,20,32,6,0.1,506,506,,,,,,,,,1,,,,Czyta opis TWN.,2,z inną osobą,2,z innymi
2926,505,2971,UNIEŚ SAM SIEBIE,2,21,7,21,40,33,0.55,506,506,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
2927,505,2972,POWIETRZ ARMATA,2,21,48,21,55,7,0.12,506,506,,,,,,,,,1,1,,,,2,z inną osobą,2,z innymi
2928,505,2973,OKNO KOPERNIKA,2,22,18,22,35,17,0.28,"0511, 0504, 0502",511,504,502,,,,,,,3,1,,,,3,z 3 lub więcej osobami,2,z innymi
2929,505,2974,SKACZĄCA KULKA,2,22,56,23,27,31,0.52,"0506, 0516",506,516,,,,,,,,2,3,,,,3,z 3 lub więcej osobami,2,z innymi
2930,505,2975,DOMOWA ELEKTROWNIA,2,24,2,24,57,55,0.92,"0506, 0516",506,516,,,,,,,,2,1,,,Po pewnym czasie - gdy zobaczyła ja używa - sama też zaczęła.,3,z 3 lub więcej osobami,2,z innymi
2931,505,2976,TANIEC IGŁAMI,2,25,2,25,9,7,0.12,"0506, 0516",506,516,,,,,,,,2,3,,,,3,z 3 lub więcej osobami,2,z innymi
2932,505,2977,DRABI JAKUBA,2,25,17,25,26,9,0.15,"0506, 0516",506,516,,,,,,,,2,3,,,,3,z 3 lub więcej osobami,2,z innymi
2933,505,2978,POWIETRZ ARMATA,2,25,56,26,6,10,0.17,,,,,,,,,,,0,1,,,,1,sam/a,1,sam/a
2934,505,2979,ŁÓDŹ PODWOD,2,26,12,27,15,63,1.05,"0506, 0516",506,516,,,,,,,,2,2,,,Zamiast ciskać obracają przycisk.,3,z 3 lub więcej osobami,2,z innymi
2935,505,2980,NIESFOR WALIZKA,2,28,49,29,53,64,1.07,"0506, 0517, 0516, 0610",506,517,516,610,,,,,,4,3,,,Nowy stoper. ,3,z 3 lub więcej osobami,2,z innymi
2936,505,2981,POCIĄGAJĄCE PRZEWODY,2,30,30,30,42,12,0.2,"0610, 0506",610,506,,,,,,,,2,1,,,,3,z 3 lub więcej osobami,2,z innymi
2937,505,2982,UNIEŚ SAM SIEBIE,2,31,27,33,12,105,1.75,"0517, 0506, 0516, 0610",517,506,516,610,,,,,,4,3,,,Pokazuje innym. Sama nie eksperymentuje ale w grupie - jeden kolega podnosi ją i koleżankę.,3,z 3 lub więcej osobami,2,z innymi
2938,505,2983,POWIETRZ ARMATA,2,33,42,34,8,26,0.43,"0616, 0502, 0506",616,502,506,,,,,,,3,2,,,,3,z 3 lub więcej osobami,2,z innymi
2939,505,2984,MŁYŃSKIE KOŁO,2,34,21,35,14,53,0.88,"0506, 0610, 0502, 0512",506,610,502,512,,,,,,4,2,,,,3,z 3 lub więcej osobami,2,z innymi
2940,505,2985,MŁYŃSKIE KOŁO,2,35,42,36,7,25,0.42,506,506,,,,,,,,,1,1,,,Ekspot jest zajęty - a chciała wejść.,2,z inną osobą,2,z innymi
2941,505,2986,SYZYFOWA PRZEKŁADNIA,2,36,18,36,46,28,0.47,"0506, 0516",506,516,,,,,,,,2,1,,,,3,z 3 lub więcej osobami,2,z innymi
2942,505,2987,ZĄB ZA ZĄB,2,36,52,37,7,15,0.25,"0506, 0516",506,516,,,,,,,,2,4,,,,3,z 3 lub więcej osobami,2,z innymi
2943,505,2988,POWIETRZ ARMATA,2,37,37,37,48,11,0.18,"0610, 0506, 0516",610,506,516,,,,,,,3,3,,,,3,z 3 lub więcej osobami,2,z innymi
2944,505,2989,WCIĄGAJĄCE SKRZYDŁO,2,37,55,38,13,18,0.3,"0517, 0506",517,506,,,,,,,,2,3,,,,3,z 3 lub więcej osobami,2,z innymi
2945,505,2990,ŁÓDŹ PODWOD,2,38,40,38,46,6,0.1,"0517, 0506",517,506,,,,,,,,2,3,,,Wciaka przycisk.,3,z 3 lub więcej osobami,2,z innymi
2946,505,2991,OKNO KOPERNIKA,2,38,51,39,1,10,0.17,,,,,,,,,,,0,2,,,,1,sam/a,1,sam/a
2947,505,2992,MŁYŃSKIE KOŁO,2,39,5,39,22,17,0.28,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
2948,505,2993,FLETNIA PA,2,40,10,40,30,20,0.33,"0506, 0516, 0517",506,516,517,,,,,,,3,3,,,,3,z 3 lub więcej osobami,2,z innymi
2949,505,2994,STROBOSKOPOWY SZNUREK,2,40,50,41,1,11,0.18,"0506, 0516, 0517",506,516,517,,,,,,,3,2,,,,3,z 3 lub więcej osobami,2,z innymi
2950,505,2995,UTRZYMAJ PION,2,41,5,41,36,31,0.52,"0506, 0502, 0516, 0517",506,502,516,517,,,,,,4,3,,,,3,z 3 lub więcej osobami,2,z innymi
2951,505,2996,ŁOŻE FAKIRA,2,42,27,44,25,118,1.97,"0506, 0502, 0516, 0517",506,502,516,517,,,,,,4,3,,,,3,z 3 lub więcej osobami,2,z innymi
2952,505,2997,OGRÓD ZAPACHÓW,2,44,45,44,56,11,0.18,"0504, 0506",504,506,,,,,,,,2,3,,,,3,z 3 lub więcej osobami,2,z innymi
2953,505,2998,DZIEWCZYNKA CZY CHŁOPIEC,2,45,26,45,43,17,0.28,"0504, 0506",504,506,,,,,,,,2,1,,,,3,z 3 lub więcej osobami,2,z innymi
2954,505,2999,FILM SPRZED RODZIN,2,46,3,46,42,39,0.65,"0504, 0506, 0516, 0517",504,506,516,517,,,,,,4,3,,,,3,z 3 lub więcej osobami,2,z innymi
2955,505,3000,URATUJ MISIA,2,47,6,47,54,48,0.8,"0504, 0506",504,506,,,,,,,,2,2,,,,3,z 3 lub więcej osobami,2,z innymi
2956,505,3001,CIĄGNIE SIĘ JAK JELITO,2,48,2,48,38,36,0.6,"0504, 0506",504,506,,,,,,,,2,3,,,,3,z 3 lub więcej osobami,2,z innymi
2957,505,3002,NIEŚMIERTELNI DLA UKI,2,48,43,49,0,17,0.28,"0504, 0506",504,506,,,,,,,,2,2,,,,3,z 3 lub więcej osobami,2,z innymi
2958,505,3003,URATUJ MISIA,2,51,50,52,25,35,0.58,"0504, 0506, 0514",504,506,514,,,,,,,3,3,1,,Przyprowadziły kolegę 0514.,3,z 3 lub więcej osobami,2,z innymi
2959,505,3004,DIETA,2,52,34,55,7,153,2.55,"0504, 0506, 0514",504,506,514,,,,,,,3,4,,1,"Mimo tego, że koleżanki odeszły, została z kolegą i słucha animatora.",3,z 3 lub więcej osobami,2,z innymi
2960,505,3005,INNE,1,55,33,55,54,21,0.35,,,,,,,,,,,0,,,,Czeka  koleżanki.,1,sam/a,1,sam/a
2961,505,3006,PRZYSTANEK SERCE - ELEKTRYCZNE ESY-FLORESY,2,55,54,56,34,40,0.67,"0514, 0504",514,504,,,,,,,,2,3,,,,3,z 3 lub więcej osobami,2,z innymi
2962,505,3007,PRZYSTANEK SERCE – ZOBACZ KRWINKĘ,2,56,35,57,10,35,0.58,504,504,,,,,,,,,1,4,,,,2,z inną osobą,2,z innymi
2963,505,3008,PODGLĄDANIE MIASTA,2,57,27,58,26,59,0.98,"0504, 0506",504,506,,,,,,,,2,1,,,Ekspot polega  oglądaniu.,3,z 3 lub więcej osobami,2,z innymi
2964,505,3009,PŁUCA JAK MIECHY,2,58,54,59,13,19,0.32,,,,,,,,,,,0,2,,,,1,sam/a,1,sam/a
2965,505,3010,CZĘŚCI ZAMIENNE DLA CZŁOWIEKA,2,59,56,60,20,24,0.4,"0504, 0506, 0516",504,506,516,,,,,,,3,2,1,,,3,z 3 lub więcej osobami,2,z innymi
2966,505,3011,KRES,2,60,28,60,54,26,0.43,"0504, 0506, 0516, 0514, 0503",504,506,516,514,503,,,,,5,3,,,Weszła do ekspotu.,3,z 3 lub więcej osobami,2,z innymi
2967,505,3012,DOMOWA ELEKTROWNIA,2,61,56,62,10,14,0.23,"0504, 0506, 0516",504,506,516,,,,,,,3,2,,,,3,z 3 lub więcej osobami,2,z innymi
2968,505,3013,WISZĄCE PIŁKI,2,62,18,62,44,26,0.43,"0504, 0506",504,506,,,,,,,,2,3,,,,3,z 3 lub więcej osobami,2,z innymi
2969,505,3014,NIESFOR WALIZKA,2,63,0,63,12,12,0.2,"0504, 0506",504,506,,,,,,,,2,1,1,,,3,z 3 lub więcej osobami,2,z innymi
2970,505,3015,CHAOTYCZNE WAHADŁO,2,63,17,63,27,10,0.17,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
2971,505,3016,ŻYWE SREBRO,2,64,2,64,48,46,0.77,504,504,,,,,,,,,1,4,,,,2,z inną osobą,2,z innymi
2972,505,3017,MIAŻDŻYCA,2,66,31,67,6,35,0.58,504,504,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
2973,505,3018,SPALANIE KALORII,2,67,12,67,35,23,0.38,"0504, 0506, 0516, 0517",504,506,516,517,,,,,,4,1,,,,3,z 3 lub więcej osobami,2,z innymi
2974,505,3019,LUDZKIE PIERWIASTKI,2,68,41,68,52,11,0.18,"0504, 0506",504,506,,,,,,,,2,2,,,,3,z 3 lub więcej osobami,2,z innymi
2975,505,3020,PODAJ MI DŁOŃ,2,70,18,70,40,22,0.37,504,504,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
2976,505,3021,ELASTYCZNE SZKŁO,2,70,42,71,32,50,0.83,"0504, 0506",504,506,,,,,,,,2,3,,,Nie odkryły mechanizmu działania.,3,z 3 lub więcej osobami,2,z innymi
2977,505,3022,LABORATORIUM,3,71,48,72,52,64,1.07,504,504,,,,,,,,,1,,,,,2,z inną osobą,2,z innymi
2978,505,3023,MIKROFALE,2,73,27,73,34,7,0.12,504,504,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
2979,505,3024,STÓŁ POLARYZACYJNY,2,73,56,74,4,8,0.13,504,504,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
2980,505,3025,MIESZANIE BARW RGB,2,74,12,74,54,42,0.7,504,504,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
2981,505,3026,MIESZANIE BARW CMY,2,75,0,75,26,26,0.43,504,504,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
2982,505,3027,OKO,2,75,53,76,6,13,0.22,504,504,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
2983,505,3028,BILARD ŚWIETLNY,2,76,46,76,51,5,0.08,504,504,,,,,,,,,1,1,,,,2,z inną osobą,2,z innymi
2984,505,3029,EON,2,77,56,79,46,110,1.83,504,504,,,,,,,,,1,1,1,,"Nie chcą wejść, zachęcone przez inne dzieci, nie wiedzą o co chodzi, ale im się podoba.",2,z inną osobą,2,z innymi
2985,505,3030,INNE- KĄCIK WYPOCZYNKOWY,1,82,52,86,30,218,3.63,504,504,,,,,,,,,1,,,,,2,z inną osobą,2,z innymi
2986,505,3031,BICZE WODNE,2,89,41,89,56,15,0.25,506,506,,,,,,,,,1,3,,1,,2,z inną osobą,2,z innymi
2987,505,3032,MAJSTERNIA,3,90,47,106,45,958,15.97,"0508, 0509, 0504, 0506",508,509,504,506,,,,,,4,,,,Wieża. Kontakt z nimatorem jest tutaj konieczny; nie dokończyły budowy.,3,z 3 lub więcej osobami,2,z innymi
2988,505,3033,INNE- STREFA KAPKI,1,108,5,108,58,53,0.88,G,G,,,,,,,,,5,,,,G=dużo osób. Rozmowa z częścią grupy.,3,z 3 lub więcej osobami,2,z innymi
2989,505,3034,MYDLA ŚCIA,2,109,8,110,42,94,1.57,"0504, 0506, 0516",504,506,516,,,,,,,3,3,,,Wszyscy razem dmuchają.,3,z 3 lub więcej osobami,2,z innymi
2990,505,3035,INNE- STREFA KAPKI,1,111,3,113,42,159,2.65,504,504,,,,,,,,,1,,,,,2,z inną osobą,2,z innymi
2991,505,3036,INNE- TOALETA,1,114,15,118,1,226,3.77,,,,,,,,,,,0,,,,,1,sam/a,1,sam/a
2992,505,3037,INNE,1,118,3,120,0,117,1.95,,,,,,,,,,,0,,,,Wspólnie szukają zaginionej rzeczy koleżanki.,1,sam/a,1,sam/a
2993,510,3038,INNE,1,0,20,3,0,160,2.67,,,,,,,,,,,0,,,,Czekanie w kolejce do windy.,1,sam/a,1,sam/a
2994,510,3039,PO GŁOSIE CIĘ POZJĄ,2,3,24,5,0,96,1.6,,,,,,,,,,,0,2,1,,,1,sam/a,1,sam/a
2995,510,3040,OKO W OKO ZE SKANEREM,2,5,5,6,20,75,1.25,,,,,,,,,,,0,2,,,,1,sam/a,1,sam/a
2996,510,3041,LEWITUJĄCY MAGNES,2,6,41,8,44,123,2.05,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
2997,510,3042,PRĄDY WIROWE,2,9,0,9,56,56,0.93,,,,,,,,,,,0,4,,,,1,sam/a,1,sam/a
2998,510,3043,DOMOWA ELEKTROWNIA,2,10,0,11,2,62,1.03,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
2999,510,3044,TANIEC IGŁAMI,2,11,11,11,54,43,0.72,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
3000,510,3045,ZĄB ZA ZĄB,2,12,5,14,20,135,2.25,,,,,,,,,,,0,4,1,,,1,sam/a,1,sam/a
3001,510,3046,UNIEŚ SAM SIEBIE,2,14,25,15,17,52,0.87,,,,,,,,,,,0,,1,,,1,sam/a,1,sam/a
3002,510,3047,POWIETRZ ARMATA,2,15,20,15,37,17,0.28,,,,,,,,,,,0,1,,,,1,sam/a,1,sam/a
3003,510,3048,WCIĄGAJĄCE SKRZYDŁO,2,15,43,16,50,67,1.12,,,,,,,,,,,0,3,1,,,1,sam/a,1,sam/a
3004,510,3049,ŁÓDŹ PODWOD,2,17,2,19,2,120,2,,,,,,,,,,,0,3,1,,,1,sam/a,1,sam/a
3005,510,3050,OKNO KOPERNIKA,2,19,5,19,58,53,0.88,,,,,,,,,,,0,2,1,,,1,sam/a,1,sam/a
3006,510,3051,POWIETRZ ARMATA,2,20,5,21,3,58,0.97,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
3007,510,3052,SYZYFOWA PRZEKŁADNIA,2,21,18,24,33,195,3.25,,,,,,,,,,,0,4,,,,1,sam/a,1,sam/a
3008,510,3053,POWIETRZ ARMATA,2,25,0,25,27,27,0.45,,,,,,,,,,,0,1,,,,1,sam/a,1,sam/a
3009,510,3054,MŁYŃSKIE KOŁO,2,25,30,26,5,35,0.58,,,,,,,,,,,0,1,,,,1,sam/a,1,sam/a
3010,510,3055,JEŻONE CIECZE,2,26,35,27,50,75,1.25,,,,,,,,,,,0,4,,,grał film.,1,sam/a,1,sam/a
3011,510,3056,DRABI JAKUBA,2,17,51,28,21,630,10.5,,,,,,,,,,,0,3,1,,,1,sam/a,1,sam/a
3012,510,3057,BICZE WODNE,2,19,34,30,28,654,10.9,,,,,,,,,,,0,4,,,,1,sam/a,1,sam/a
3013,510,3058,COPERNICHAOS,2,30,34,31,5,31,0.52,,,,,,,,,,,0,1,,,,1,sam/a,1,sam/a
3014,510,3059,POCISK  SPRĘŻONE POWIETRZE,2,31,33,32,58,85,1.42,,,,,,,,,,,0,3,1,,,1,sam/a,1,sam/a
3015,510,3060,RAKIETA  WODÓR,2,33,0,34,35,95,1.58,"0605, 0613",605,613,,,,,,,,2,,1,,,3,z 3 lub więcej osobami,2,z innymi
3016,510,3061,POCISK  SPRĘŻONE POWIETRZE,2,34,55,35,20,25,0.42,,,,,,,,,,,0,3,,,,1,sam/a,1,sam/a
3017,510,3062,RYSOWANIE  PIASKU,2,35,26,37,34,128,2.13,601,601,,,,,,,,,1,4,1,,,2,z inną osobą,2,z innymi
3018,510,3063,PIPEDREAM,2,37,41,38,25,44,0.73,,,,,,,,,,,0,1,,,,1,sam/a,1,sam/a
3019,510,3064,NIESFOR WALIZKA,2,38,56,39,48,52,0.87,,,,,,,,,,,0,,1,,,1,sam/a,1,sam/a
3020,510,3065,LENIWE KOŁA,2,39,54,41,11,77,1.28,,,,,,,,,,,0,3,1,,,1,sam/a,1,sam/a
3021,510,3066,WISZĄCA PIŁKA,2,41,21,41,39,18,0.3,,,,,,,,,,,0,1,,,,1,sam/a,1,sam/a
3022,510,3067,KROCZĄCA SPRĘŻY,2,41,57,44,47,170,2.83,"0515, 0501",515,501,,,,,,,,2,4,1,,,3,z 3 lub więcej osobami,2,z innymi
3023,510,3068,OKNO KOPERNIKA,2,44,50,46,12,82,1.37,513,513,,,,,,,,,1,,1,,,2,z inną osobą,2,z innymi
3024,510,3069,BĄBLE  START,2,46,14,47,8,54,0.9,513,513,,,,,,,,,1,3,,,,2,z inną osobą,2,z innymi
