olimpiada;medal;olimpijczyk;rok_urodzenia;wiek;plec;dyscyplina;konkurencja
1964;B;Ledwig Jozefa;1935;29;K;siatkowka;siatkowka
1964;S;Maniak Wieslaw Jan;1938;26;M;lekkoatletyka;4x100m relay
1964;B;Marko-Ksiazek Jadwiga;1939;25;K;siatkowka;siatkowka
1964;B;Nowak Mieczyslaw;1936;28;M;podnoszenie ciezarow;56 - 60kg, total (featherweight)
1964;B;Ochyra Emil Antoni;1936;28;M;szermierka;sabre team
1964;S;Olech Artur;1940;24;M;boks;- 51kg (flyweight)
1964;B;Palinski Ireneusz;1932;32;M;podnoszenie ciezarow;82.5 - 90kg, total (middle-heavyweight)
1964;S;Parulski Ryszard Wladyslaw;1938;26;M;szermierka;foil team
1964;B;Pawlowski Jerzy;1932;32;M;szermierka;sabre team
1964;B;Piatkowski Andrzej Ryszard;1934;30;M;szermierka;sabre team
1964;B;Pietrzykowski Zbigniew;1934;30;M;boks;75 - 81kg (light-heavyweight)
1964;S;Rozycki Jan;1939;25;M;szermierka;foil team
1964;B;Rutkowska Jadwiga;1934;30;K;siatkowka;siatkowka
1964;Z;Schmidt Jozef;1935;29;M;lekkoatletyka;triple jump
1964;S;Skrudlik Zbigniew;1934;30;M;szermierka;foil team
1964;B;Sliwka Marja;1935;29;K;siatkowka;siatkowka
1964;B;Szczesniewska Zofia;1943;21;K;siatkowka;siatkowka
1964;S;Szewinska Irena;1946;18;K;lekkoatletyka;200m
1964;Z;Szewinska Irena;1946;18;K;lekkoatletyka;4x100m relay
1964;S;Szewinska Irena;1946;18;K;lekkoatletyka;long jump
1964;B;Walasek Tadeusz;1936;28;M;boks;71-75kg
1964;Z;Wieczorek-Cieply Teresa Barbara;1937;27;K;lekkoatletyka;4x100m relay
1964;S;Wieczorek-Cieply Teresa Barbara;1937;27;K;lekkoatletyka;80m hurdles
1964;S;Woyda Witold;1939;25;M;szermierka;foil team
1964;B;Zablocki Wojciech;1930;34;M;szermierka;sabre team
1964;S;Zielinski Andrzej;1936;28;M;lekkoatletyka;4x100m relay
1964;B;Zielinski Marian;1929;35;M;podnoszenie ciezarow;60 - 67.5kg, total (lightweight)
1964;B;Zub Ryszard;1934;30;M;szermierka;sabre team
1968;B;Andrzejewski Bogdan;1942;26;M;szermierka;épée team
1968;B;Askielowicz Halina;1947;21;K;siatkowka;siatkowka
1968;B;Barburski Kazimierz;1942;26;M;szermierka;épée team
1968;Z;Baszanowski Waldemar;1935;33;M;podnoszenie ciezarow;60 - 67.5kg, total (lightweight)
1968;B;Butkiewicz Michal;1942;26;M;szermierka;épée team
1968;B;Chmielnicka Lidia;1939;29;K;siatkowka;siatkowka
1968;B;Czajkowska Krystyna;1936;32;K;siatkowka;siatkowka
1968;B;Dragan Stanislaw;1941;27;M;boks;75 - 81kg (light-heavyweight)
1968;B;Franke Egon;1935;33;M;szermierka;foil team
1968;B;Golab Marek;1940;28;M;podnoszenie ciezarow;82.5 - 90kg, total (middle-heavyweight)
1968;B;Gonsior Bogdan;1937;31;M;szermierka;épée team
1968;S;Grudzien Jozef;1939;29;M;boks;57 - 60kg (lightweight)
1968;B;Hermela-Niemczyk Barbara Wieslawa;1943;25;K;siatkowka;siatkowka
1968;B;Jakubowska Krystyna;1942;26;K;siatkowka;siatkowka
1968;B;Kierzkowski Janusz;1947;21;M;kolarstwo;1km time trial
1968;B;Krupa Krystyna;1939;29;K;siatkowka;siatkowka
1968;Z;Kulej Jerzy;1940;28;M;boks;60 - 63.5kg (light-welterweight)
1968;B;Ledwig Jozefa;1935;33;K;siatkowka;siatkowka
1968;B;Lisewski Adam;1944;24;M;szermierka;foil team
1968;B;Marko-Ksiazek Jadwiga;1939;29;K;siatkowka;siatkowka
1968;B;Nielaba Henryk;1933;35;M;szermierka;épée team
1968;S;Olech Artur;1940;28;M;boks;48 - 51kg (flyweight)
1968;B;Ostromecka Krystyna;1948;20;K;siatkowka;siatkowka
1968;B;Ozimek Norbert;1945;23;M;podnoszenie ciezarow;75 - 82.5kg, total (light-heavyweight)
1968;B;Parulski Ryszard Wladyslaw;1938;30;M;szermierka;foil team
1968;Z;Pawlowski Jerzy;1932;36;M;szermierka;sabre individual
1968;B;Porzec Elzbieta;1945;23;K;siatkowka;siatkowka
1968;B;Skrudlik Zbigniew;1934;34;M;szermierka;foil team
1968;B;Skrzypczak Hubert;1943;25;M;boks;- 48kg (light-flyweight)
1968;B;Szczesniewska Zofia;1943;25;K;siatkowka;siatkowka
1968;B;Szewinska Irena;1946;22;K;lekkoatletyka;100m
1968;Z;Szewinska Irena;1946;22;K;lekkoatletyka;200m
1968;B;Trebicki Henryk;1940;28;M;podnoszenie ciezarow;- 56kg, total (bantamweight)
1968;B;Wiecha Wanda;1946;22;K;siatkowka;siatkowka
1968;B;Woyda Witold;1939;29;M;szermierka;foil team
1968;Z;Zapedzki Jozef;1929;39;M;strzelectwo;25m rapid fire pistol (60 shots)
1968;B;Zielinski Marian;1929;39;M;podnoszenie ciezarow;60 - 67.5kg, total (lightweight)
1972;Z;Anczok Zygmunt;1946;26;M;pilka nozna;pilka nozna
1972;S;Barcik Edward;1950;22;M;kolarstwo;team time trial
1972;B;Bek Andrzej;1951;21;M;kolarstwo;2000m tandem
1972;B;Blazynski Leszek;1949;23;M;boks;48 - 51kg (flyweight)
1972;Z;Cmikiewicz Leslaw;1948;24;M;pilka nozna;pilka nozna
1972;Z;Dabrowski Marek;1949;23;M;szermierka;foil team
1972;Z;Deyna Kazimierz;1947;25;M;pilka nozna;pilka nozna
1972;Z;Gadocha Robert;1946;26;M;pilka nozna;pilka nozna
1972;Z;Godel Arkadiusz;1952;20;M;szermierka;foil team
1972;Z;Gorgon Jerzy;1949;23;M;pilka nozna;pilka nozna
1972;B;Gortat Janusz;1948;24;M;boks;75 - 81kg (light-heavyweight)
1972;Z;Gut Zbigniew;1949;23;M;pilka nozna;pilka nozna
1972;Z;Kaczmarek Jerzy;1948;24;M;szermierka;foil team
1972;B;Kaczmarek Zbigniew;1946;26;M;podnoszenie ciezarow;60 - 67.5kg, total (lightweight)
1972;B;Katus Ryszard;1947;25;M;lekkoatletyka;decathlon
1972;Z;Kmiecik Kazimierz;1951;21;M;pilka nozna;pilka nozna
1972;B;Kocot Benedykt;1954;18;M;kolarstwo;2000m tandem
1972;Z;Komar Wladyslaw;1940;32;M;lekkoatletyka;shot put
1972;Z;Kostka Hubert;1940;32;M;pilka nozna;pilka nozna
1972;Z;Koziejowski Lech;1949;23;M;szermierka;foil team
1972;Z;Kraska Jerzy;1951;21;M;pilka nozna;pilka nozna
