lata;miejsce;gmina;opis
2011-2013;1011;Ujazd;Wydatki z œrodków w³asnych samorz¹dów
2012-2014;362;Ujazd;Wydatki z œrodków w³asnych samorz¹dów
2001-2003;966;Rzeczyca;Wydatki z œrodków w³asnych samorz¹dów
2002-2004;1036;Rzeczyca;Wydatki z œrodków w³asnych samorz¹dów
2003-2005;1068;Rzeczyca;Wydatki z œrodków w³asnych samorz¹dów
2004-2006;1107;Rzeczyca;Wydatki z œrodków w³asnych samorz¹dów
2005-2007;1087;Rzeczyca;Wydatki z œrodków w³asnych samorz¹dów
2006-2008;1134;Rzeczyca;Wydatki z œrodków w³asnych samorz¹dów
2007-2009;1128;Rzeczyca;Wydatki z œrodków w³asnych samorz¹dów
2008-2010;660;Rzeczyca;Wydatki z œrodków w³asnych samorz¹dów
2009-2011;693;Rzeczyca;Wydatki z œrodków w³asnych samorz¹dów
2010-2012;782;Rzeczyca;Wydatki z œrodków w³asnych samorz¹dów
2011-2013;1221;Rzeczyca;Wydatki z œrodków w³asnych samorz¹dów
2012-2014;657;Rzeczyca;Wydatki z œrodków w³asnych samorz¹dów
2001-2003;1093;Budziszewice;Wydatki z œrodków w³asnych samorz¹dów
2002-2004;871;Budziszewice;Wydatki z œrodków w³asnych samorz¹dów
2003-2005;1405;Budziszewice;Wydatki z œrodków w³asnych samorz¹dów
2004-2006;1350;Budziszewice;Wydatki z œrodków w³asnych samorz¹dów
2005-2007;1341;Budziszewice;Wydatki z œrodków w³asnych samorz¹dów
2006-2008;1012;Budziszewice;Wydatki z œrodków w³asnych samorz¹dów
2007-2009;222;Budziszewice;Wydatki z œrodków w³asnych samorz¹dów
2008-2010;106;Budziszewice;Wydatki z œrodków w³asnych samorz¹dów
2009-2011;222;Budziszewice;Wydatki z œrodków w³asnych samorz¹dów
2010-2012;213;Budziszewice;Wydatki z œrodków w³asnych samorz¹dów
2011-2013;1562;Budziszewice;Wydatki z œrodków w³asnych samorz¹dów
2012-2014;1548;Budziszewice;Wydatki z œrodków w³asnych samorz¹dów
2001-2003;565;Tomaszów Maz.;Wydatki z œrodków w³asnych samorz¹dów
2002-2004;560;Tomaszów Maz.;Wydatki z œrodków w³asnych samorz¹dów
2003-2005;561;Tomaszów Maz.;Wydatki z œrodków w³asnych samorz¹dów
2004-2006;654;Tomaszów Maz.;Wydatki z œrodków w³asnych samorz¹dów
2005-2007;966;Tomaszów Maz.;Wydatki z œrodków w³asnych samorz¹dów
2006-2008;985;Tomaszów Maz.;Wydatki z œrodków w³asnych samorz¹dów
2007-2009;1165;Tomaszów Maz.;Wydatki z œrodków w³asnych samorz¹dów
2008-2010;1351;Tomaszów Maz.;Wydatki z œrodków w³asnych samorz¹dów
2009-2011;1430;Tomaszów Maz.;Wydatki z œrodków w³asnych samorz¹dów
2010-2012;1194;Tomaszów Maz.;Wydatki z œrodków w³asnych samorz¹dów
2011-2013;511;Tomaszów Maz.;Wydatki z œrodków w³asnych samorz¹dów
2012-2014;622;Tomaszów Maz.;Wydatki z œrodków w³asnych samorz¹dów
2001-2003;245;Rokiciny;Wydatki z œrodków w³asnych samorz¹dów
2002-2004;456;Rokiciny;Wydatki z œrodków w³asnych samorz¹dów
2003-2005;596;Rokiciny;Wydatki z œrodków w³asnych samorz¹dów
2004-2006;708;Rokiciny;Wydatki z œrodków w³asnych samorz¹dów
2005-2007;445;Rokiciny;Wydatki z œrodków w³asnych samorz¹dów
2006-2008;352;Rokiciny;Wydatki z œrodków w³asnych samorz¹dów
2007-2009;333;Rokiciny;Wydatki z œrodków w³asnych samorz¹dów
