olimpiada;dyscyplina;olimpijczyk;rok_urodzenia;plec;konkurencja;medal;druzyna;liczba_osob;wiek
1960;zapasy;Trojanowski Tadeusz Hipolit;1933;M;52 - 57kg (bantamweight);B;I;1;27
1960;boks;Walasek Tadeusz;1936;M;71-75kg;S;I;1;24
1960;kajakarstwo;Walkowiak-Pilecka Daniela;1935;K;K-1 500m (kayak single);B;I;1;25
1960;lekkoatletyka;Wieczorek-Cieply Teresa Barbara;1937;K;4x100m relay;B;T;4;23
1960;szermierka;Zablocki Wojciech;1930;M;sabre team;S;T;6;30
1960;kajakarstwo;Zielinski Wladyslaw;1935;M;K-2 1000m (kayak double);B;T;2;25
1960;lekkoatletyka;Zimny Kazimierz;1935;M;5000m;B;I;1;25
1960;szermierka;Zub Ryszard;1934;M;sabre team;S;T;6;26
1964;lekkoatletyka;Badenski Andrzej;1943;M;400m;B;I;1;21
1964;podnoszenie ciezarow;Baszanowski Waldemar;1935;M;60 - 67.5kg, total (lightweight);Z;I;1;29
1964;siatkowka;Czajkowska Krystyna;1936;K;siatkowka;B;T;10;28
1964;lekkoatletyka;Dudziak Marjan;1941;M;4x100m relay;S;T;4;23
1964;lekkoatletyka;Foik Marjan;1933;M;4x100m relay;S;T;4;31
1964;szermierka;Franke Egon;1935;M;foil individual;Z;I;1;29
1964;szermierka;Franke Egon;1935;M;foil team;S;T;5;29
1964;siatkowka;Golimowska Marja;1932;K;siatkowka;B;T;10;32
1964;boks;Grudzien Jozef;1939;M;57 - 60kg (lightweight);Z;I;1;25
1964;boks;Grzesiak Jozef;1941;M;67 - 71kg (light-middleweight);B;I;1;23
1964;lekkoatletyka;Herrmann-Gorecka-Richter Halina;1938;K;4x100m relay;Z;T;4;26
1964;siatkowka;Jakubowska Krystyna;1942;K;siatkowka;B;T;10;22
1964;boks;Kasprzyk Marian;1939;M;63.5 - 67kg (welterweight);Z;I;1;25
1964;lekkoatletyka;Klobukowska Ewa;1946;K;100m;B;I;1;18
1964;lekkoatletyka;Klobukowska Ewa;1946;K;4x100m relay;Z;T;4;18
1964;siatkowka;Kordaczuk Danuta;1939;K;siatkowka;B;T;10;25
1964;siatkowka;Krupa Krystyna;1939;K;siatkowka;B;T;10;25
1964;boks;Kulej Jerzy;1940;M;60 - 63.5kg (light-welterweight);Z;I;1;24
1964;siatkowka;Ledwig Jozefa;1935;K;siatkowka;B;T;10;29
1964;lekkoatletyka;Maniak Wieslaw Jan;1938;M;4x100m relay;S;T;4;26
1964;siatkowka;Marko-Ksiazek Jadwiga;1939;K;siatkowka;B;T;10;25
1964;podnoszenie ciezarow;Nowak Mieczyslaw;1936;M;56 - 60kg, total (featherweight);B;I;1;28
1964;szermierka;Ochyra Emil Antoni;1936;M;sabre team;B;T;5;28
1964;boks;Olech Artur;1940;M;- 51kg (flyweight);S;I;1;24
1964;podnoszenie ciezarow;Palinski Ireneusz;1932;M;82.5 - 90kg, total (middle-heavyweight);B;I;1;32
1964;szermierka;Parulski Ryszard Wladyslaw;1938;M;foil team;S;T;5;26
1964;szermierka;Pawlowski Jerzy;1932;M;sabre team;B;T;5;32
1964;szermierka;Piatkowski Andrzej Ryszard;1934;M;sabre team;B;T;5;30
1964;boks;Pietrzykowski Zbigniew;1934;M;75 - 81kg (light-heavyweight);B;I;1;30
1964;szermierka;Rozycki Jan;1939;M;foil team;S;T;5;25
1964;siatkowka;Rutkowska Jadwiga;1934;K;siatkowka;B;T;10;30
1964;lekkoatletyka;Schmidt Jozef;1935;M;triple jump;Z;I;1;29
1964;szermierka;Skrudlik Zbigniew;1934;M;foil team;S;T;5;30
1964;siatkowka;Sliwka Marja;1935;K;siatkowka;B;T;10;29
1964;siatkowka;Szczesniewska Zofia;1943;K;siatkowka;B;T;10;21
1964;lekkoatletyka;Szewinska Irena;1946;K;200m;S;I;1;18
1964;lekkoatletyka;Szewinska Irena;1946;K;4x100m relay;Z;T;4;18
1964;lekkoatletyka;Szewinska Irena;1946;K;long jump;S;I;1;18
1964;boks;Walasek Tadeusz;1936;M;71-75kg;B;I;1;28
1964;lekkoatletyka;Wieczorek-Cieply Teresa Barbara;1937;K;4x100m relay;Z;T;4;27
1964;lekkoatletyka;Wieczorek-Cieply Teresa Barbara;1937;K;80m hurdles;S;I;1;27
1964;szermierka;Woyda Witold;1939;M;foil team;S;T;5;25
1964;szermierka;Zablocki Wojciech;1930;M;sabre team;B;T;5;34
1964;lekkoatletyka;Zielinski Andrzej;1936;M;4x100m relay;S;T;4;28
1964;podnoszenie ciezarow;Zielinski Marian;1929;M;60 - 67.5kg, total (lightweight);B;I;1;35
1964;szermierka;Zub Ryszard;1934;M;sabre team;B;T;5;30
1968;szermierka;Andrzejewski Bogdan;1942;M;épée team;B;T;5;26
1968;siatkowka;Askielowicz Halina;1947;K;siatkowka;B;T;12;21
1968;szermierka;Barburski Kazimierz;1942;M;épée team;B;T;5;26
1968;podnoszenie ciezarow;Baszanowski Waldemar;1935;M;60 - 67.5kg, total (lightweight);Z;I;1;33
1968;szermierka;Butkiewicz Michal;1942;M;épée team;B;T;5;26
1968;siatkowka;Chmielnicka Lidia;1939;K;siatkowka;B;T;12;29
1968;siatkowka;Czajkowska Krystyna;1936;K;siatkowka;B;T;12;32
1968;boks;Dragan Stanislaw;1941;M;75 - 81kg (light-heavyweight);B;I;1;27
1968;szermierka;Franke Egon;1935;M;foil team;B;T;5;33
1968;podnoszenie ciezarow;Golab Marek;1940;M;82.5 - 90kg, total (middle-heavyweight);B;I;1;28
1968;szermierka;Gonsior Bogdan;1937;M;épée team;B;T;5;31
1968;boks;Grudzien Jozef;1939;M;57 - 60kg (lightweight);S;I;1;29
1968;siatkowka;Hermela-Niemczyk Barbara Wieslawa;1943;K;siatkowka;B;T;12;25
1968;siatkowka;Jakubowska Krystyna;1942;K;siatkowka;B;T;12;26
1968;kolarstwo;Kierzkowski Janusz;1947;M;1km time trial;B;I;1;21
1968;siatkowka;Krupa Krystyna;1939;K;siatkowka;B;T;12;29
1968;boks;Kulej Jerzy;1940;M;60 - 63.5kg (light-welterweight);Z;I;1;28
1968;siatkowka;Ledwig Jozefa;1935;K;siatkowka;B;T;12;33
1968;szermierka;Lisewski Adam;1944;M;foil team;B;T;5;24
1968;siatkowka;Marko-Ksiazek Jadwiga;1939;K;siatkowka;B;T;12;29
1968;szermierka;Nielaba Henryk;1933;M;épée team;B;T;5;35
1968;boks;Olech Artur;1940;M;48 - 51kg (flyweight);S;I;1;28
1968;siatkowka;Ostromecka Krystyna;1948;K;siatkowka;B;T;12;20
1968;podnoszenie ciezarow;Ozimek Norbert;1945;M;75 - 82.5kg, total (light-heavyweight);B;I;1;23
1968;szermierka;Parulski Ryszard Wladyslaw;1938;M;foil team;B;T;5;30
1968;szermierka;Pawlowski Jerzy;1932;M;sabre individual;Z;I;1;36
1968;siatkowka;Porzec Elzbieta;1945;K;siatkowka;B;T;12;23
1968;szermierka;Skrudlik Zbigniew;1934;M;foil team;B;T;5;34
1968;boks;Skrzypczak Hubert;1943;M;- 48kg (light-flyweight);B;I;1;25
1968;siatkowka;Szczesniewska Zofia;1943;K;siatkowka;B;T;12;25
1968;lekkoatletyka;Szewinska Irena;1946;K;100m;B;I;1;22
1968;lekkoatletyka;Szewinska Irena;1946;K;200m;Z;I;1;22
1968;podnoszenie ciezarow;Trebicki Henryk;1940;M;- 56kg, total (bantamweight);B;I;1;28
1968;siatkowka;Wiecha Wanda;1946;K;siatkowka;B;T;12;22
1968;szermierka;Woyda Witold;1939;M;foil team;B;T;5;29
1968;strzelectwo;Zapedzki Jozef;1929;M;25m rapid fire pistol (60 shots);Z;I;1;39
1968;podnoszenie ciezarow;Zielinski Marian;1929;M;60 - 67.5kg, total (lightweight);B;I;1;39
1972;pilka nozna;Anczok Zygmunt;1946;M;pilka nozna;Z;T;17;26
1972;kolarstwo;Barcik Edward;1950;M;team time trial;S;T;4;22
1972;kolarstwo;Bek Andrzej;1951;M;2000m tandem;B;T;2;21
1972;boks;Blazynski Leszek;1949;M;48 - 51kg (flyweight);B;I;1;23
1972;pilka nozna;Cmikiewicz Leslaw;1948;M;pilka nozna;Z;T;17;24
1972;szermierka;Dabrowski Marek;1949;M;foil team;Z;T;5;23
1972;pilka nozna;Deyna Kazimierz;1947;M;pilka nozna;Z;T;17;25
1972;pilka nozna;Gadocha Robert;1946;M;pilka nozna;Z;T;17;26
1972;szermierka;Godel Arkadiusz;1952;M;foil team;Z;T;5;20
1972;pilka nozna;Gorgon Jerzy;1949;M;pilka nozna;Z;T;17;23
1972;boks;Gortat Janusz;1948;M;75 - 81kg (light-heavyweight);B;I;1;24
1972;pilka nozna;Gut Zbigniew;1949;M;pilka nozna;Z;T;17;23
1972;szermierka;Kaczmarek Jerzy;1948;M;foil team;Z;T;5;24
1972;podnoszenie ciezarow;Kaczmarek Zbigniew;1946;M;60 - 67.5kg, total (lightweight);B;I;1;26
1972;lekkoatletyka;Katus Ryszard;1947;M;decathlon;B;I;1;25
1972;pilka nozna;Kmiecik Kazimierz;1951;M;pilka nozna;Z;T;17;21
1972;kolarstwo;Kocot Benedykt;1954;M;2000m tandem;B;T;2;18
1972;lekkoatletyka;Komar Wladyslaw;1940;M;shot put;Z;I;1;32
1972;pilka nozna;Kostka Hubert;1940;M;pilka nozna;Z;T;17;32
1972;szermierka;Koziejowski Lech;1949;M;foil team;Z;T;5;23
1972;pilka nozna;Kraska Jerzy;1951;M;pilka nozna;Z;T;17;21
1972;zapasy;Kwiecinski Czeslaw;1943;M;82 - 90kg (light-heavyweight);B;I;1;29
1972;pilka nozna;Lato Grzegorz;1950;M;pilka nozna;Z;T;17;22
1972;zapasy;Lipien Kazimierz;1949;M;57 - 62kg (featherweight);B;I;1;23
1972;kolarstwo;Lis Lucjan;1950;M;team time trial;S;T;4;22
1972;pilka nozna;Lubanski Wlodzimierz;1947;M;pilka nozna;Z;T;17;25
1972;pilka nozna;Marx Joachim;1944;M;pilka nozna;Z;T;17;28
1972;pilka nozna;Maszczyk Zygmunt;1945;M;pilka nozna;Z;T;17;27
1972;pilka nozna;Ostafinski Marjan;1946;M;pilka nozna;Z;T;17;26
1972;podnoszenie ciezarow;Ozimek Norbert;1945;M;75 - 82.5kg, total (light-heavyweight);S;I;1;27
1972;kajakarstwo;Piszcz Rafal Maciej;1940;M;K-2 1000m (kayak double);B;T;2;32
1972;boks;Rudkowski Wieslaw;1946;M;67 - 71kg (light-middleweight);S;I;1;26
1972;podnoszenie ciezarow;Smalcerz Zygmunt;1941;M;- 52kg, total (flyweight);Z;I;1;31
1972;boks;Szczepanski Jan;1939;M;57 - 60kg (lightweight);Z;I;1;33
1972;lekkoatletyka;Szewinska Irena;1946;K;200m;B;I;1;26
1972;pilka nozna;Szoltysik Zygfryd;1942;M;pilka nozna;Z;T;17;30
1972;kolarstwo;Szozda Stanislaw;1950;M;team time trial;S;T;4;22
1972;kolarstwo;Szurkowski Ryszard;1946;M;team time trial;S;T;4;26
1972;kajakarstwo;Szuszkiewicz Wladyslaw;1938;M;K-2 1000m (kayak double);B;T;2;34
1972;lucznictwo;Szydlowska Irena;1928;K;individual FITA round;S;I;1;44
1972;pilka nozna;Szymanowski Antoni;1951;M;pilka nozna;Z;T;17;21
1972;pilka nozna;Szymczak Ryszard;1944;M;pilka nozna;Z;T;17;28
1972;szermierka;Woyda Witold;1939;M;foil individual;Z;I;1;33
1972;szermierka;Woyda Witold;1939;M;foil team;Z;T;5;33
1972;judo;Zajkowski Antoni;1948;M;63 - 70kg (half-middleweight);S;I;1;24
1972;strzelectwo;Zapedzki Jozef;1929;M;25m rapid fire pistol (60 shots);Z;I;1;43
1976;pilka reczna;Antczak Zdzislaw;1947;M;pilka reczna;B;T;14;29
1976;siatkowka;Bebel Bronislaw;1949;M;siatkowka;Z;T;12;27
1976;pilka nozna;Beniger Jan;1950;M;pilka nozna;S;T;17;26
1976;boks;Blazynski Leszek;1949;M;48 - 51kg (flyweight);B;I;1;27
1976;siatkowka;Bosek Ryszard;1950;M;siatkowka;Z;T;12;26
1976;pilka reczna;Brzozowski Janusz;1951;M;pilka reczna;B;T;14;25
1976;pilka reczna;Ciesla Piotr;1955;M;pilka reczna;B;T;14;21
1976;pilka nozna;Cmikiewicz Leslaw;1948;M;pilka nozna;S;T;17;28
1976;podnoszenie ciezarow;Czarnecki Kazimierz;1948;M;60 - 67.5kg, total (lightweight);B;I;1;28
