"nr_glosowania" "za" "przeciw" "wstrzymal" "nieobecny" "obecny" "tendencja" "proc_zgodnosci"
"276" 276 25 0 4 11 29 "Za" 0.86
"277" 277 0 0 30 10 30 "Wstrzyma³ siê" 1
"278" 278 0 37 1 2 38 "Przeciw" 0.97
"279" 279 36 2 0 2 38 "Za" 0.95
"280" 280 35 1 2 2 38 "Za" 0.92
"281" 281 37 0 1 2 38 "Za" 0.97
"282" 282 0 36 2 2 38 "Przeciw" 0.95
"283" 283 36 1 1 2 38 "Za" 0.95
"284" 284 1 36 1 2 38 "Przeciw" 0.95
"285" 285 36 1 1 2 38 "Za" 0.95
"286" 286 37 0 0 3 37 "Za" 1
"287" 287 0 37 1 2 38 "Przeciw" 0.97
"288" 288 0 37 1 2 38 "Przeciw" 0.97
"289" 289 0 36 2 2 38 "Przeciw" 0.95
"290" 290 37 0 0 3 37 "Za" 1
"291" 291 38 0 0 2 38 "Za" 1
"292" 292 36 0 2 2 38 "Za" 0.95
"293" 293 38 0 0 2 38 "Za" 1
"294" 294 0 37 1 2 38 "Przeciw" 0.97
"295" 295 0 36 1 3 37 "Przeciw" 0.97
"296" 296 0 35 1 4 36 "Przeciw" 0.97
"297" 297 1 37 0 2 38 "Przeciw" 0.97
"298" 298 2 35 1 2 38 "Przeciw" 0.92
"299" 299 0 37 1 2 38 "Przeciw" 0.97
"300" 300 0 37 1 2 38 "Przeciw" 0.97
"301" 301 0 36 2 2 38 "Przeciw" 0.95
"302" 302 35 3 0 2 38 "Za" 0.92
"303" 303 1 34 3 2 38 "Przeciw" 0.89
"304" 304 35 0 3 2 38 "Za" 0.92
"305" 305 0 35 3 2 38 "Przeciw" 0.92
"306" 306 0 35 3 2 38 "Przeciw" 0.92
"307" 307 33 1 4 2 38 "Za" 0.87
"308" 308 35 0 3 2 38 "Za" 0.92
"309" 309 35 0 3 2 38 "Za" 0.92
"310" 310 35 0 3 2 38 "Za" 0.92
"311" 311 36 0 2 2 38 "Za" 0.95
"312" 312 0 36 2 2 38 "Przeciw" 0.95
"313" 313 0 0 38 2 38 "Wstrzyma³ siê" 1
"314" 314 7 18 12 3 37 "Przeciw" 0.49
"315" 315 0 32 0 8 32 "Przeciw" 1
"316" 316 0 30 0 10 30 "Przeciw" 1
"317" 317 0 30 1 9 31 "Przeciw" 0.97
"318" 318 0 31 0 9 31 "Przeciw" 1
"319" 319 2 28 0 10 30 "Przeciw" 0.93
"320" 320 0 38 1 1 39 "Przeciw" 0.97
"321" 321 39 0 0 1 39 "Za" 1
"322" 322 39 0 0 1 39 "Za" 1
"323" 323 39 0 0 1 39 "Za" 1
"324" 324 37 0 2 1 39 "Za" 0.95
"325" 325 38 0 0 2 38 "Za" 1
"326" 326 36 1 0 3 37 "Za" 0.97
"327" 327 0 37 2 1 39 "Przeciw" 0.95
"328" 328 0 36 2 2 38 "Przeciw" 0.95
"329" 329 1 36 2 1 39 "Przeciw" 0.92
"330" 330 37 0 2 1 39 "Za" 0.95
"331" 331 1 36 2 1 39 "Przeciw" 0.92
"332" 332 0 35 2 3 37 "Przeciw" 0.95
"333" 333 0 37 2 1 39 "Przeciw" 0.95
"334" 334 28 2 9 1 39 "Za" 0.72
"335" 335 27 6 5 2 38 "Za" 0.71
"336" 336 3 33 1 3 37 "Przeciw" 0.89
"337" 337 34 0 1 5 35 "Za" 0.97
"338" 338 0 34 1 5 35 "Przeciw" 0.97
"339" 339 0 35 0 5 35 "Przeciw" 1
"340" 340 39 0 0 1 39 "Za" 1
"341" 341 39 0 0 1 39 "Za" 1
"342" 342 36 1 1 2 38 "Za" 0.95
"343" 343 37 1 0 2 38 "Za" 0.97
"344" 344 34 1 2 3 37 "Za" 0.92
"345" 345 36 1 0 3 37 "Za" 0.97
"346" 346 0 33 4 3 37 "Przeciw" 0.89
"347" 347 4 31 2 3 37 "Przeciw" 0.84
"348" 348 13 11 13 3 37 "Za" 0.35
"349" 349 4 20 13 3 37 "Przeciw" 0.54
"350" 350 22 11 3 4 36 "Za" 0.61
"351" 351 36 0 0 4 36 "Za" 1
"352" 352 36 0 1 3 37 "Za" 0.97
"353" 353 0 37 0 3 37 "Przeciw" 1
"354" 354 12 17 6 5 35 "Przeciw" 0.49
"355" 355 2 33 2 3 37 "Przeciw" 0.89
"356" 356 1 33 3 3 37 "Przeciw" 0.89
"357" 357 1 35 1 3 37 "Przeciw" 0.95
"358" 358 1 33 3 3 37 "Przeciw" 0.89
"359" 359 19 14 2 5 35 "Za" 0.54
"360" 360 26 8 3 3 37 "Za" 0.7
"361" 361 30 4 2 4 36 "Za" 0.83
"362" 362 29 5 3 3 37 "Za" 0.78
"363" 363 30 4 1 5 35 "Za" 0.86
"364" 364 29 2 3 6 34 "Za" 0.85
"365" 365 29 4 2 5 35 "Za" 0.83
"366" 366 5 22 6 7 33 "Przeciw" 0.67
"367" 367 2 34 0 4 36 "Przeciw" 0.94
"368" 368 31 3 2 4 36 "Za" 0.86
"369" 369 33 1 3 3 37 "Za" 0.89
"370" 370 30 2 2 6 34 "Za" 0.88
"371" 371 34 0 1 5 35 "Za" 0.97
"372" 372 34 2 1 3 37 "Za" 0.92
"373" 373 36 1 0 3 37 "Za" 0.97
"374" 374 37 0 0 3 37 "Za" 1
"375" 375 31 3 1 5 35 "Za" 0.89
"376" 376 16 13 1 10 30 "Za" 0.53
"377" 377 28 3 0 9 31 "Za" 0.9
"378" 378 26 2 5 7 33 "Za" 0.79
"379" 379 27 2 3 8 32 "Za" 0.84
"380" 380 29 4 0 7 33 "Za" 0.88
"381" 381 28 2 2 8 32 "Za" 0.88
"382" 382 30 3 0 7 33 "Za" 0.91
"383" 383 28 3 2 7 33 "Za" 0.85
"384" 384 32 2 1 5 35 "Za" 0.91
"385" 385 36 1 0 3 37 "Za" 0.97
"386" 386 34 3 0 3 37 "Za" 0.92
"387" 387 36 1 0 3 37 "Za" 0.97
"388" 388 33 3 1 3 37 "Za" 0.89
"389" 389 30 3 4 3 37 "Za" 0.81
"390" 390 27 6 4 3 37 "Za" 0.73
"391" 391 31 3 0 6 34 "Za" 0.91
"392" 392 34 2 1 3 37 "Za" 0.92
"393" 393 32 2 0 6 34 "Za" 0.94
"394" 394 32 2 3 3 37 "Za" 0.86
"395" 395 31 3 2 4 36 "Za" 0.86
"396" 396 36 1 0 3 37 "Za" 0.97
"397" 397 33 3 1 3 37 "Za" 0.89
"398" 398 31 2 4 3 37 "Za" 0.84
"399" 399 29 1 5 5 35 "Za" 0.83
"400" 400 32 2 1 5 35 "Za" 0.91
"401" 401 32 2 3 3 37 "Za" 0.86
"402" 402 30 3 3 4 36 "Za" 0.83
"403" 403 35 1 1 3 37 "Za" 0.95
"404" 404 29 3 5 3 37 "Za" 0.78
"405" 405 34 0 1 5 35 "Za" 0.97
"406" 406 32 1 0 7 33 "Za" 0.97
"407" 407 34 0 1 5 35 "Za" 0.97
"408" 408 33 0 1 6 34 "Za" 0.97
"409" 409 30 2 1 7 33 "Za" 0.91
"410" 410 32 2 0 6 34 "Za" 0.94
"411" 411 20 11 6 3 37 "Za" 0.54
"412" 412 33 0 1 6 34 "Za" 0.97
"413" 413 32 0 1 7 33 "Za" 0.97
"414" 414 30 2 0 8 32 "Za" 0.94
"415" 415 26 3 3 8 32 "Za" 0.81
"416" 416 28 3 4 5 35 "Za" 0.8
"417" 417 28 3 4 5 35 "Za" 0.8
"418" 418 12 18 5 5 35 "Przeciw" 0.51
"419" 419 11 17 6 6 34 "Przeciw" 0.5
"420" 420 25 5 4 6 34 "Za" 0.74
"421" 421 34 1 1 4 36 "Za" 0.94
"422" 422 27 4 3 6 34 "Za" 0.79
"423" 423 7 23 7 3 37 "Przeciw" 0.62
"424" 424 10 19 8 3 37 "Przeciw" 0.51
"425" 425 36 1 0 3 37 "Za" 0.97
