"nr_glosowania" "za" "przeciw" "wstrzymal" "nieobecny" "obecny" "tendencja" "proc_zgodnosci"
"431" 431 113 20 0 5 133 "Za" 0.85
"432" 432 132 0 0 6 132 "Za" 1
"433" 433 130 0 0 8 130 "Za" 1
"434" 434 133 0 0 5 133 "Za" 1
"435" 435 130 0 0 8 130 "Za" 1
"436" 436 133 0 0 5 133 "Za" 1
"437" 437 133 1 0 4 134 "Za" 0.99
"438" 438 133 0 1 4 134 "Za" 0.99
"439" 439 131 1 0 6 132 "Za" 0.99
"440" 440 120 10 1 7 131 "Za" 0.92
"441" 441 132 0 0 6 132 "Za" 1
"442" 442 131 0 0 7 131 "Za" 1
"443" 443 132 0 0 6 132 "Za" 1
"444" 444 133 0 0 5 133 "Za" 1
"445" 445 132 0 0 6 132 "Za" 1
"446" 446 47 81 2 8 130 "Przeciw" 0.62
"447" 447 134 0 0 4 134 "Za" 1
"448" 448 132 0 0 6 132 "Za" 1
"449" 449 131 3 0 4 134 "Za" 0.98
"450" 450 133 0 0 5 133 "Za" 1
"451" 451 132 0 0 6 132 "Za" 1
"452" 452 126 0 0 12 126 "Za" 1
"453" 453 134 0 0 4 134 "Za" 1
"454" 454 134 0 0 4 134 "Za" 1
"455" 455 131 0 0 7 131 "Za" 1
"456" 456 134 0 0 4 134 "Za" 1
"457" 457 133 0 0 5 133 "Za" 1
"458" 458 131 0 0 7 131 "Za" 1
"459" 459 130 4 0 4 134 "Za" 0.97
"460" 460 134 0 0 4 134 "Za" 1
"461" 461 14 117 0 7 131 "Przeciw" 0.89
"462" 462 132 0 0 6 132 "Za" 1
"463" 463 133 0 0 5 133 "Za" 1
"464" 464 133 0 0 5 133 "Za" 1
"465" 465 131 0 0 7 131 "Za" 1
"466" 466 133 0 0 5 133 "Za" 1
"467" 467 134 0 0 4 134 "Za" 1
"468" 468 134 0 0 4 134 "Za" 1
"469" 469 134 0 0 4 134 "Za" 1
"470" 470 132 0 0 6 132 "Za" 1
"471" 471 134 0 0 4 134 "Za" 1
"472" 472 134 0 0 4 134 "Za" 1
"473" 473 133 0 0 5 133 "Za" 1
"474" 474 134 0 0 4 134 "Za" 1
"475" 475 134 0 0 4 134 "Za" 1
"476" 476 134 0 0 4 134 "Za" 1
"477" 477 134 0 0 4 134 "Za" 1
"478" 478 133 0 0 5 133 "Za" 1
"479" 479 133 0 0 5 133 "Za" 1
"480" 480 133 0 0 5 133 "Za" 1
"481" 481 133 0 0 5 133 "Za" 1
"482" 482 129 2 2 5 133 "Za" 0.97
"483" 483 130 1 0 7 131 "Za" 0.99
"484" 484 129 0 0 9 129 "Za" 1
"485" 485 127 1 0 10 128 "Za" 0.99
"486" 486 3 115 1 19 119 "Przeciw" 0.97
"487" 487 1 131 0 6 132 "Przeciw" 0.99
"488" 488 7 125 1 5 133 "Przeciw" 0.94
"489" 489 129 0 2 7 131 "Za" 0.98
"490" 490 128 1 3 6 132 "Za" 0.97
"491" 491 120 1 12 5 133 "Za" 0.9
"492" 492 127 3 2 6 132 "Za" 0.96
"493" 493 130 0 1 7 131 "Za" 0.99
"494" 494 131 0 1 6 132 "Za" 0.99
"495" 495 128 4 1 5 133 "Za" 0.96
"496" 496 130 1 0 7 131 "Za" 0.99
"497" 497 132 0 0 6 132 "Za" 1
"498" 498 2 130 0 6 132 "Przeciw" 0.98
"499" 499 1 130 1 6 132 "Przeciw" 0.98
"500" 500 10 119 0 9 129 "Przeciw" 0.92
"501" 501 127 5 0 6 132 "Za" 0.96
"502" 502 132 0 0 6 132 "Za" 1
"503" 503 131 0 0 7 131 "Za" 1
"504" 504 108 22 1 7 131 "Za" 0.82
"505" 505 81 51 0 6 132 "Za" 0.61
"506" 506 126 4 1 7 131 "Za" 0.96
"507" 507 131 1 0 6 132 "Za" 0.99
"508" 508 131 1 0 6 132 "Za" 0.99
"509" 509 128 2 0 8 130 "Za" 0.98
"510" 510 130 0 0 8 130 "Za" 1
"511" 511 129 0 0 9 129 "Za" 1
"512" 512 125 2 0 11 127 "Za" 0.98
"513" 513 1 130 0 7 131 "Przeciw" 0.99
"514" 514 0 130 0 8 130 "Przeciw" 1
"515" 515 3 128 0 7 131 "Przeciw" 0.98
"516" 516 2 128 0 8 130 "Przeciw" 0.98
"517" 517 0 130 1 7 131 "Przeciw" 0.99
"518" 518 0 130 0 8 130 "Przeciw" 1
"519" 519 0 132 0 6 132 "Przeciw" 1
"520" 520 1 133 0 4 134 "Przeciw" 0.99
"521" 521 2 132 0 4 134 "Przeciw" 0.99
"522" 522 1 132 0 5 133 "Przeciw" 0.99
"523" 523 1 132 0 5 133 "Przeciw" 0.99
"524" 524 5 127 0 6 132 "Przeciw" 0.96
"525" 525 4 130 0 4 134 "Przeciw" 0.97
"526" 526 2 130 0 6 132 "Przeciw" 0.98
"527" 527 132 2 1 3 135 "Za" 0.98
"528" 528 1 134 0 3 135 "Przeciw" 0.99
"529" 529 38 16 79 5 133 "Wstrzyma³ siê" 0.59
"530" 530 133 0 0 5 133 "Za" 1
"531" 531 132 2 0 4 134 "Za" 0.99
"532" 532 133 2 0 3 135 "Za" 0.99
"533" 533 128 3 0 7 131 "Za" 0.98
"534" 534 134 1 0 3 135 "Za" 0.99
"535" 535 131 3 1 3 135 "Za" 0.97
"536" 536 135 0 0 3 135 "Za" 1
"537" 537 127 8 0 3 135 "Za" 0.94
"538" 538 124 10 0 4 134 "Za" 0.93
"539" 539 133 0 0 5 133 "Za" 1
"540" 540 134 0 0 4 134 "Za" 1
"541" 541 135 0 0 3 135 "Za" 1
"542" 542 131 0 0 7 131 "Za" 1
"543" 543 132 0 0 6 132 "Za" 1
"544" 544 134 0 0 4 134 "Za" 1
"545" 545 135 0 0 3 135 "Za" 1
"546" 546 130 0 2 6 132 "Za" 0.98
"547" 547 130 5 0 3 135 "Za" 0.96
"548" 548 135 0 0 3 135 "Za" 1
"549" 549 133 0 0 5 133 "Za" 1
"550" 550 134 0 0 4 134 "Za" 1
"551" 551 134 0 0 4 134 "Za" 1
"552" 552 133 1 0 4 134 "Za" 0.99
"553" 553 134 0 0 4 134 "Za" 1
"554" 554 134 0 0 4 134 "Za" 1
"555" 555 134 0 0 4 134 "Za" 1
"556" 556 134 0 0 4 134 "Za" 1
"557" 557 133 0 0 5 133 "Za" 1
"558" 558 133 1 0 4 134 "Za" 0.99
